Date;ME_Power;ME_RPM
02/05/2018;11156;91
29/04/2019;11699;90
30/04/2019;11699;90
12/04/2019;11499;90
13/04/2019;11499;90
14/04/2019;11499;90
15/04/2019;11499;90
17/04/2019;11499;90
18/04/2019;11499;90
19/04/2019;11499;90
20/04/2019;11499;90
21/04/2019;11499;90
22/04/2019;11499;90
24/04/2019;11499;90
25/04/2019;11499;90
26/04/2019;11499;90
28/04/2019;11499;90
27/12/2019;11066;90
16/12/2019;10080;90
01/05/2019;11699;89
15/07/2018;11559;89
04/05/2019;11409;89
01/04/2018;11156;89
20/04/2018;11156;89
22/04/2018;11156;89
22/05/2018;11156;89
26/10/2018;11156;89
27/10/2018;11156;89
08/01/2021;11040;89
11/04/2019;11036;89
19/04/2018;11004;89
07/06/2018;11000;89
23/04/2018;10953;89
24/04/2018;10953;89
18/05/2018;10953;89
19/05/2018;10953;89
21/05/2018;10953;89
03/11/2018;10953;89
04/11/2018;10953;89
08/06/2018;10900;89
23/05/2018;10851;89
31/12/2019;10815;89
27/03/2018;10801;89
28/03/2018;10801;89
30/03/2018;10750;89
31/03/2018;10750;89
02/04/2018;10750;89
03/04/2018;10750;89
04/04/2018;10750;89
18/04/2018;10750;89
06/11/2018;10750;89
29/06/2016;10717;89
16/10/2018;10699;89
29/12/2019;10689;89
09/01/2021;10667;89
17/10/2018;10660;89
16/05/2018;10649;89
26/05/2018;10649;89
27/05/2018;10649;89
07/11/2018;10649;89
05/10/2018;10600;89
08/10/2018;10599;89
15/10/2018;10599;89
28/06/2016;10567;89
14/01/2021;10560;89
16/07/2018;10549;89
17/07/2018;10549;89
13/01/2021;10500;89
28/09/2018;10499;89
29/09/2018;10499;89
30/09/2018;10499;89
01/10/2018;10499;89
02/10/2018;10499;89
03/10/2018;10499;89
04/10/2018;10499;89
07/10/2018;10499;89
28/10/2018;10446;89
10/03/2016;10438;89
26/12/2019;10438;89
30/12/2019;10438;89
26/06/2016;10429;89
30/06/2016;10365;89
03/01/2021;10360;89
05/11/2018;10344;89
12/03/2016;10304;89
27/06/2016;10218;89
08/05/2018;10142;89
15/05/2018;10142;89
13/03/2016;10059;89
04/01/2021;10000;89
06/06/2017;9939;89
09/05/2018;9939;89
10/05/2018;9939;89
17/03/2016;9847;89
16/06/2017;9837;89
14/03/2016;9812;89
23/12/2019;9808;89
24/12/2019;9808;89
07/03/2016;9775;89
06/03/2016;9734;89
15/03/2016;9719;89
16/03/2016;9652;89
05/03/2016;9611;89
17/06/2017;9533;89
07/09/2019;12716;88
21/04/2018;11359;88
29/03/2018;11257;88
23/10/2018;11156;88
25/10/2018;11156;88
02/11/2018;11054;88
24/05/2018;10953;88
09/06/2018;10870;88
26/01/2021;10783;88
14/10/2018;10750;88
10/11/2018;10750;88
10/01/2021;10720;88
25/12/2019;10689;88
20/02/2018;10649;88
17/05/2018;10649;88
22/02/2019;10600;88
11/10/2018;10599;88
13/10/2018;10550;88
06/10/2018;10499;88
01/11/2018;10496;88
06/12/2020;10480;88
09/03/2016;10438;88
28/07/2020;10435;88
07/12/2020;10417;88
11/03/2016;10409;88
22/09/2018;10400;88
27/09/2018;10400;88
02/01/2021;10375;88
29/07/2020;10333;88
08/03/2016;10303;88
21/09/2018;10300;88
18/02/2021;10292;88
26/11/2018;10243;88
